"""
lmd_id,store,merchant_homepage,long_offer,title,description,code,terms_and_conditions,categories,featured,publisher_exclusive,url,smartlink,image_url,type,offer,offer_value,status,start_date,end_date
1195130,zaful.com,https://www.zaful.com/,"Beachwears and accessories for women starting at just &#163;0.86","Beachwears and accessories for women","Starting @ &#163;0.86 only",,,"Fashion,Womens Apparels,Lingerie,Jewellery",No,N,https://www.zaful.com/beachwear-e_520/,https://smartlink.linkmydeals.com/?account_id=13725&network=&url=https%3A%2F%2Fwww.zaful.com%2Fbeachwear-e_520%2F,https://uidesign.zafcdn.com/ZF/image/12206/PC-US1_16.jpg?impolicy=high,Deal,Offer,"Great Value",new,2023-04-24,2023-05-26
1218321,zaful.com,https://www.zaful.com/,"Get Extra 20% Discount on all products","Additional 20% discount","This voucher is valid on all products",,,"Fashion,Mens Apparels,Womens Apparels,Watches,Lingerie,Eyewear,Footwear,Handbags and Wallets,Jewellery,Fashion Accessories,Bags and Suitcase",No,N,https://www.zaful.com/,https://smartlink.linkmydeals.com/?account_id=13725&network=&url=https%3A%2F%2Fwww.zaful.com%2F,https://uidesign.zafcdn.com/ZF/image/12251/PC-US.jpg?impolicy=high,Deal,Percentage-Off,20%,new,2023-05-10,2023-05-26
1192582,zaful.com,https://www.zaful.com/,"Get Flat 14% Discount on all products","Get 14% Discount","This voucher is valid on all products (On Min. Purchase of $55)",EC14,,"Fashion,Womens Apparels,Lingerie,Eyewear,Footwear,Handbags and Wallets,Fashion Accessories,Entertainment,Sports,Health and Beauty,Body Care,Makeup Products,Kids and Toddlers,Kids Fashion",No,N,https://www.zaful.com/,https://smartlink.linkmydeals.com/?account_id=13725&network=&url=https%3A%2F%2Fwww.zaful.com%2F,,Code,Percentage-Off,14%,new,2022-12-31,2023-05-29
1173940,zaful.com,https://www.zaful.com/,"Get 20% off on most products","Flat 20% Discount","This voucher is applicable on most products (Using Mobile App only)",ZAFULAPP,,"Fashion,Mens Apparels,Womens Apparels,Lingerie,Eyewear,Footwear,Handbags and Wallets,Jewellery,Fashion Accessories,Entertainment,Sports,Sports and Outdoor,Sportswear",No,N,https://zaful.app.link/en,https://smartlink.linkmydeals.com/?account_id=13725&network=&url=https%3A%2F%2Fzaful.app.link%2Fen,https://geshopimg.logsss.com/uploads/iNGRkqr2m5O8gQM3YeIlFcyZhx9L7J4d.jpg,Code,Percentage-Off,20%,new,2023-04-06,2023-05-26
1041886,zaful.com,https://www.zaful.com/,"Flat 19% Discount on all products","Flat 19% Off","This offer is applicable on all products",bigsal22,,"Fashion,Mens Apparels,Womens Apparels,Watches,Lingerie,Eyewear,Footwear,Handbags and Wallets,Jewellery,Fashion Accessories,Entertainment,Sports,Health and Beauty,Body Care,Makeup Products",No,N,https://www.zaful.com/,https://smartlink.linkmydeals.com/?account_id=13725&network=&url=https%3A%2F%2Fwww.zaful.com%2F,http://cdn.admitad.com/campaign/images/2020/9/30/15508-2ccf6db1de7fb4c0.png,Code,Percentage-Off,19%,new,2022-12-08,2024-01-01
1230584,zaful.com,https://www.zaful.com/,"Get Upto 18% Off on all products","Up To 18% off","This voucher is valid on all products (On Min. Purchase of $49)",SAVUZF20,,"Fashion,Mens Apparels,Womens Apparels,Watches,Lingerie,Eyewear,Footwear,Handbags and Wallets,Jewellery,Fashion Accessories,Bags and Suitcase,Home and Living,Furniture and Decor,Kids and Toddlers,Kids Fashion",No,N,https://www.zaful.com/,https://smartlink.linkmydeals.com/?account_id=13725&network=&url=https%3A%2F%2Fwww.zaful.com%2F,,Code,Percentage-Off,18%,new,2023-05-18,2024-12-31
1173775,zaful.com,https://www.zaful.com/,"Free Shipping on Trendy Fashion Range","Free Shipping","This voucher is valid on Trendy Fashion Range (On Min. Purchase of $69)",,,"Fashion,Mens Apparels,Womens Apparels,Lingerie,Eyewear,Footwear,Handbags and Wallets,Fashion Accessories,Bags and Suitcase,Kids and Toddlers,Kids Fashion",No,N,https://www.zaful.com/shipping-info/,https://smartlink.linkmydeals.com/?account_id=13725&network=&url=https%3A%2F%2Fwww.zaful.com%2Fshipping-info%2F,https://uidesign.zafcdn.com/ZF/image/11910/us-01a.jpg?imbypass=true,Deal,Freebie,Free,new,2023-04-06,2023-05-26
1173776,zaful.com,https://www.zaful.com/,"Get Flat 15% Discount on Latest Fashion Collection","Flat 15% Discount","This voucher is applicable on Latest Fashion Collection (Only for New Customers)",,,"Fashion,Mens Apparels,Womens Apparels,Lingerie,Eyewear,Footwear,Handbags and Wallets,Fashion Accessories,Bags and Suitcase,Kids and Toddlers,Kids Fashion",No,N,https://www.zaful.com/promotion/New-User.html,https://smartlink.linkmydeals.com/?account_id=13725&network=&url=https%3A%2F%2Fwww.zaful.com%2Fpromotion%2FNew-User.html,https://geshopimg.logsss.com/uploads/mBRj6JtThXq23QAalvZKC4xPS0uLOUNg.jpg,Deal,Sign-Up,"Sign-Up Offer",new,2023-04-06,2023-05-26
1221287,zaful.com,https://www.zaful.com/,"Swimwear starting at just $23.99","Swimwear Offer","Starts for $23.99",,,"Fashion,Lingerie",No,N,https://www.zaful.com/promotion/swimwear-trends-2023.html,https://smartlink.linkmydeals.com/?account_id=13725&network=&url=https%3A%2F%2Fwww.zaful.com%2Fpromotion%2Fswimwear-trends-2023.html,https://uidesign.zafcdn.com/ZF/image/12253/001.jpg?impolicy=high%20,Deal,Offer,"Hot Offer",new,2023-05-12,2023-05-26
1114613,zaful.com,https://www.zaful.com/,"Get $8 Discount on Ribbed Ruffle Tie Front Bikini Top","Get $8 off","This promotional offer is valid on Ribbed Ruffle Tie Front Bikini Top",SWIM01,,"Fashion,Womens Apparels,Lingerie",No,N,https://www.zaful.com/zaful-ribbed-ruffle-tie-front-bikini-top-puid_4763503.html,https://smartlink.linkmydeals.com/?account_id=13725&network=&url=https%3A%2F%2Fwww.zaful.com%2Fzaful-ribbed-ruffle-tie-front-bikini-top-puid_4763503.html,http://cdn.admitad.com/campaign/images/2020/9/30/15508-2ccf6db1de7fb4c0.png,Code,Price-Off,$8,new,2023-02-15,2023-07-01
